name,address,phone,website,rating,total_ratings,business_status,search_city,search_county
Valley Spirit Acupuncture & Internal Arts,"36 Mason Cir, Beacon, NY 12508, USA",(845) 202-7316,http://www.valleyspiritbeacon.com/,5,9,OPERATIONAL,Beacon,Dutchess
Ying Acupuncture Center,"1207 US-9 #7A, Wappingers Falls, NY 12590, USA",(845) 297-2266,http://yingacupuncture.com/,4.3,18,OPERATIONAL,Beacon,Dutchess
Yaad Wellness and Acupuncture,"344 Main St, Catskill, NY 12414, USA",(518) 291-8856,http://www.yaadwellness.com/,4.7,25,OPERATIONAL,Fishkill,Dutchess
A Plus Health Care Massage & Acupuncture Therapy,"1300 Union Tpke #103A, North New Hyde Park, NY 11040, USA",(917) 868-1794,https://aplusacupuncturemassage.onbuildhealth.com/,5,110,OPERATIONAL,Hyde Park,Dutchess
Green Tree Acupuncture PC,"1521 Jericho Tpke, New Hyde Park, NY 11040, USA",(516) 965-8211,,5,7,OPERATIONAL,Hyde Park,Dutchess
Nanum Acupuncture,"516 Lakeville Rd, New Hyde Park, NY 11040, USA",(516) 775-0778,http://www.nanumacu.com/,5,1,OPERATIONAL,Hyde Park,Dutchess
Qingxia Ren Acupuncture P.C.,"2035 Lakeville Rd #207, New Hyde Park, NY 11040, USA",(646) 361-6768,https://kellyrenacu2035.com/,5,1,OPERATIONAL,Hyde Park,Dutchess
Scar Tissue Acupuncture,"1976 Lakeville Rd, North New Hyde Park, NY 11040, USA",(212) 397-8988,http://www.drbaoku.com/,5,7,OPERATIONAL,Hyde Park,Dutchess
Shenshen Acupuncture,"2500 Marcus Ave Ste 109, New Hyde Park, NY 11042, USA",(917) 306-1339,,5,12,OPERATIONAL,Hyde Park,Dutchess
Unsook Park’s Acupuncture,"2001 Marcus Ave, New Hyde Park, NY 11042, USA",,,3.7,3,OPERATIONAL,Hyde Park,Dutchess
Zen-Ohs Acupuncture & Wellness,"1300 Union Tpke Suite 308, New Hyde Park, NY 11040, USA",(516) 557-6112,https://billysingh.com/,5,10,OPERATIONAL,Hyde Park,Dutchess
8 Energies Healing,"25 Husky Hill Rd, Poughkeepsie, NY 12601, USA",(845) 661-3698,https://8energieshealing.com/price-and-locations,,,OPERATIONAL,Poughkeepsie,Dutchess
Holistic Healing & Nutrition,"695 Dutchess Turnpike suite 206-f, Poughkeepsie, NY 12603, USA",(845) 471-6400,http://www.hhan-ny.com/,4.5,23,OPERATIONAL,Poughkeepsie,Dutchess
"Patricia Holtz, L.Ac.","Enter at double glass doors of the West Lobby, 3 Neptune Rd Suite S 500, Poughkeepsie, NY 12601, USA",(845) 233-8683,http://patriciaholtz.com/,5,14,OPERATIONAL,Poughkeepsie,Dutchess
Pellegrino Healing Center,"4307 Albany Post Rd, Hyde Park, NY 12538, USA",(845) 233-5672,http://pellegrinohealingcenter.com/,5,291,OPERATIONAL,Poughkeepsie,Dutchess
Poughkeepsie Integrative Health,"7-9 Mansion St, Poughkeepsie, NY 12601, USA",(845) 418-3640,https://poughkeepsieintegrativehealth.com/,5,12,OPERATIONAL,Poughkeepsie,Dutchess
Wellness and Skincare Medical Spa,"74 W Cedar St, Poughkeepsie, NY 12601, USA",(845) 790-2254,http://www.wellnessandskincareusa.com/,4.4,34,OPERATIONAL,Poughkeepsie,Dutchess
Bock Integrative Medicine,"50 Old Farm Rd, Red Hook, NY 12571, USA",(845) 758-0001,https://www.bockintegrative.com/,3.8,11,OPERATIONAL,Red Hook,Dutchess
"Acupuncture Pain Care - Peter Dubitsky, L.Ac.","47 W Market St, Rhinebeck, NY 12572, USA",(845) 417-8429,http://www.rhinebeck-acupuncture.com/,5,5,OPERATIONAL,Rhinebeck,Dutchess
Alexis Sarandon Wellness,"17 Glen Pond Dr, Red Hook, NY 12571, USA",(617) 833-3231,https://alexissarandonwellness.com/,5,13,OPERATIONAL,Rhinebeck,Dutchess
"Anna Filkin, LAc. Balance Point Studio","218 Plaza Rd, Kingston, NY 12401, USA",(917) 696-4436,https://www.balancepointstudio.com/,5,7,OPERATIONAL,Rhinebeck,Dutchess
"Anne Ballantine, L.Ac","6369 Mill St #101, Rhinebeck, NY 12572, USA",(845) 518-2059,http://rhinebeckacupuncture.com/,,,OPERATIONAL,Rhinebeck,Dutchess
Chinese Healing Arts Center,"266 Smith Ave, Kingston, NY 12401, USA",(845) 338-6045,http://qihealer.com/,3,2,OPERATIONAL,Rhinebeck,Dutchess
Crane Acupuncture & Holistic Medicine,"785 Broadway Ste 3, Kingston, NY 12401, USA",(845) 249-6350,https://www.craneholisticmedicine.com/,4.9,40,OPERATIONAL,Rhinebeck,Dutchess
Inner Waters Acupuncture & Herbs,"360 Broadway, Kingston, NY 12401, USA",(845) 745-8006,http://innerwaters.com/,5,17,OPERATIONAL,Rhinebeck,Dutchess
Kingston Acupuncture & Wellness,"16 Lucas Ave #101, Kingston, NY 12401, USA",(845) 339-5653,http://www.kingstonacupuncture.com/,5,28,OPERATIONAL,Rhinebeck,Dutchess
Mallory Markman Acupuncture,"104 Wurts St 2nd Floor, Kingston, NY 12401, USA",(917) 544-1759,http://www.mmacupuncture.com/,5,14,OPERATIONAL,Rhinebeck,Dutchess
Rhinebeck Acupuncture & Bodywork,"6384 Mill St #1, Rhinebeck, NY 12572, USA",(845) 943-7644,https://www.rhinebeckacupuncture.net/,5,26,OPERATIONAL,Rhinebeck,Dutchess
Rhinebeck-Acupuncture.com,"47 W Market St #4, Rhinebeck, NY 12572, USA",(845) 417-8429,http://rhinebeck-acupuncture.com/,,,OPERATIONAL,Rhinebeck,Dutchess
Women's View Acupuncture,"107 Montgomery St, Rhinebeck, NY 12572, USA",(845) 871-4380,,,,OPERATIONAL,Rhinebeck,Dutchess
Golden Dragon Wellness,"98 Green St Suite 1, Hudson, NY 12534, USA",(347) 543-1129,http://www.goldendragonwellness.com/,5,8,OPERATIONAL,Tivoli,Dutchess
Regenerative Acupuncture PC,"3664 NY-212, Shady, NY 12409, USA",(917) 202-5356,http://www.regenerativeacupuncturewoodstock.com/,5,2,OPERATIONAL,Tivoli,Dutchess
Rosendale Acupuncture PLLC - Katie Finley L.Ac.,"2071 NY-32, Kingston, NY 12401, USA",(845) 430-8383,http://www.rosendaleacupuncture.com/,5,5,OPERATIONAL,Tivoli,Dutchess
Tisana Acupuncture Pllc,"86 NY-59, Spring Valley, NY 10977, USA",(845) 425-0033,,3.9,8,OPERATIONAL,Tivoli,Dutchess
Acupuncture Clinic,"15 Myers Corners Rd, Wappingers Falls, NY 12590, USA",,,,,OPERATIONAL,Wappingers Falls,Dutchess
"Centered Health Acupuncture: Andrea Henkels, L.Ac. and Team","80 Washington St, Poughkeepsie, NY 12601, USA",(845) 232-0897,http://www.centeredhealthhealingarts.com/,5,41,OPERATIONAL,Wappingers Falls,Dutchess
Centered Health Healing Arts,"80 Washington St Suite 301, Poughkeepsie, NY 12601, USA",(845) 232-0897,https://centeredhealthhealingarts.com/,5,7,OPERATIONAL,Wappingers Falls,Dutchess
Rising Earth Healing Arts,"2676 W Main St, Wappingers Falls, NY 12590, USA",(845) 288-3006,http://www.risingearthhealingarts.com/,4.9,42,OPERATIONAL,Wappingers Falls,Dutchess
Zhang Yu-Qi Acupuncturist PC,"2789 W Main St Apartment 1, Wappingers Falls, NY 12590, USA",(845) 297-1213,,,,OPERATIONAL,Wappingers Falls,Dutchess
ACA Acupuncture & Wellness - Long Island City Athena,"42-56 Hunter St, Long Island City, NY 11101, USA",(347) 448-6004,https://acaacupuncture.com/aca-long-island-city-athena/,5,300,OPERATIONAL,Athens,Greene
"Amy A. Mahoney, Lac","41 5 Mile Woods Rd, Catskill, NY 12414, USA",(518) 943-9303,,,,OPERATIONAL,Catskill,Greene
Phoenicia Healing Arts Center,"74 Main St, Phoenicia, NY 12464, USA",,http://phoeniciahealingarts.com/,5,3,OPERATIONAL,Catskill,Greene
DMS Acupuncture,"10 Elm St, Cornwall, NY 12518, USA",(845) 926-2487,https://dmsacu.com/contact-location,5,2,OPERATIONAL,Cornwall-on-Hudson,Orange
Heliotrope Holistic Healing,"10 Elm St Suite 18, Cornwall, NY 12518, USA",(845) 522-4103,https://heliotropeholistichealing.com/,5,17,OPERATIONAL,Cornwall-on-Hudson,Orange
Newburgh Acupuncture Project,"109 S William St G4, Newburgh, NY 12550, USA",(845) 857-8386,http://newburghacupunctureproject.com/,5,23,OPERATIONAL,Cornwall-on-Hudson,Orange
Sang Acupuncture & Herbal Medicine,"407 Gidney Ave, Newburgh, NY 12550, USA",(845) 649-1102,http://sangacupuncture.com/,5,5,OPERATIONAL,Cornwall-on-Hudson,Orange
Stefanie Vidal Acupuncture,"16 Quaker Ave Suite 5, Cornwall, NY 12518, USA",,https://www.stefanievidalacupuncture.com/,5,4,OPERATIONAL,Cornwall-on-Hudson,Orange
"Creekside Acupuncture & Natural Medicine, Stephanie Ellis, L.Ac.","371 Main St, Rosendale, NY 12472, USA",(845) 546-5358,http://www.creeksideacupuncture.com/,5,24,OPERATIONAL,Highland Falls,Orange
Golden Light Acupuncture,"26 N Front St, New Paltz, NY 12561, USA",(845) 420-2554,http://goldenlightacupunctureny.com/,5,52,OPERATIONAL,Highland Falls,Orange
Hudson Acupuncture,"187 New Hackensack Rd, Wappingers Falls, NY 12590, USA",(845) 797-1610,https://www.mengacupuncture.com/,5,3,OPERATIONAL,Highland Falls,Orange
Hudson Valley Acupuncture,"108 Pine St, Kingston, NY 12401, USA",(845) 340-4490,https://hvacupuncture.com/contact/,5,16,OPERATIONAL,Highland Falls,Orange
JAC Acupuncture,"82 Sawyer Ln, Pine Bush, NY 12566, USA",(845) 744-8079,http://www.jacacupuncture.com/,5,2,OPERATIONAL,Highland Falls,Orange
"Jason Elias Acupuncture, Integral Health Apothecary","3 Paradies Ln, New Paltz, NY 12561, USA",(845) 255-2255,http://fiveelementhealing.net/,5,2,OPERATIONAL,Highland Falls,Orange
LAN Acupuncture & Herbal Medicine,"815 Blooming Grove Turnpike #402, New Windsor, NY 12553, USA",(845) 674-7639,http://www.lanacupuncture.com/,4.9,58,OPERATIONAL,Highland Falls,Orange
Pine Sage Acupuncture,"66 Middlebush Rd # 101, Wappingers Falls, NY 12590, USA",(720) 938-8122,https://elenanovikov.nccaomdiplomates.com/,5,2,OPERATIONAL,Highland Falls,Orange
"Rise J. Finkle, ND Stone Ridge Natural Medicine","264 Old Kings Hwy, Stone Ridge, NY 12484, USA",(845) 389-2547,http://www.stoneridgenaturalmedicine.com/,5,3,OPERATIONAL,Highland Falls,Orange
Sunset Healing Collective,"40 Sunset Ridge suite 130, New Paltz, NY 12561, USA",(917) 676-0828,https://www.sunsethealingcollective.com/,5,36,OPERATIONAL,Highland Falls,Orange
Advanced Alternative Medicine Center,"320 Robinson Ave Suite 209, Newburgh, NY 12550, USA",(845) 561-2225,http://www.spineboy.com/,4.6,11,OPERATIONAL,Newburgh,Orange
Bliss Wellness,"313 S William St Suite 2, Newburgh, NY 12550, USA",(845) 393-1008,,3.7,3,OPERATIONAL,Newburgh,Orange
Herbal Wellness,"243 Broadway, Newburgh, NY 12550, USA",(845) 563-0789,,5,56,OPERATIONAL,Newburgh,Orange
Hudson Valley Acupressure,"156 Weyants Ln, Newburgh, NY 12550, USA",(914) 213-7342,,,,OPERATIONAL,Newburgh,Orange
"Joyce Leung Acupuncture, PC","190 S Plank Rd Suite 9, Newburgh, NY 12550, USA",(646) 827-1128,https://joyceleungacupuncture.com/,5,103,OPERATIONAL,Newburgh,Orange
"Judith A. Chaleff, L.Ac.","337 Fullerton Ave, Newburgh, NY 12550, USA",(845) 565-2809,,5,1,OPERATIONAL,Newburgh,Orange
"Kimberly A. Lotocke, LAC","8 Colonel Foster Dr, Rock Tavern, NY 12575, USA",(845) 527-0293,,5,8,OPERATIONAL,Newburgh,Orange
Living Angelic: Family Health and Wellness Center,"1227 NY-300 Suite 1, Newburgh, NY 12550, USA",(347) 567-6060,http://www.livingangelic.com/,5,235,OPERATIONAL,Newburgh,Orange
hudson holistic of newburgh Tasha Townsend,"550 Stony Brook Ct, Newburgh, NY 12550, USA",(845) 542-8989,https://www.instagram.com/hudsonholisticnewburgh/,5,14,OPERATIONAL,Newburgh,Orange
On Point Acupuncture NY,"1875 US-6, Carmel Hamlet, NY 10512, USA",(917) 584-1300,https://sites.google.com/view/onpointacupuncture/,5,8,OPERATIONAL,West Point,Orange
"Christine Bokhour, LAc Acupuncture and Bodywork","1 Chestnut St, Cold Spring, NY 10516, USA",(917) 340-8449,,,,OPERATIONAL,Cold Spring,Putnam
"Crofts Acupuncture & Herbs - Jessica Crofts, DACM","54 Lyons Rd, Cold Spring, NY 10516, USA",(914) 519-7475,http://www.croftsacupuncture.com/,5,35,OPERATIONAL,Cold Spring,Putnam
Dragon Springs Wellness-Malinda DeMercurio L.Ac.,"222 NY-299 Suite 12, Highland, NY 12528, USA",(845) 532-6723,http://dragonspringswellness.com/,5,19,OPERATIONAL,Cold Spring,Putnam
Hudson Holistic Health Center,"156 Main St, Cold Spring, NY 10516, USA",(845) 265-3160,,5,1,OPERATIONAL,Cold Spring,Putnam
Hudson River Healing and Wellness,"290 Main St Suite 4, Cold Spring, NY 10516, USA",(845) 240-1822,http://www.hrhealingwellness.com/,4.3,17,OPERATIONAL,Cold Spring,Putnam
Hudson Valley Community Acupuncture,"3315 US-9 Suite 4, Cold Spring, NY 10516, USA",(845) 220-8435,https://www.facebook.com/HudsonValleyCommunityAcupuncture,5,6,OPERATIONAL,Cold Spring,Putnam
"Lauren Barrett, Licensed Acupuncturist","1111 US-9 Suite #1, Garrison, NY 10524, USA",(845) 202-3130,http://www.lauren-barrett.com/,5,8,OPERATIONAL,Cold Spring,Putnam
Melissa Meyers Acupuncture,"35 Garrisons Landing, Garrison, NY 10524, USA",(646) 530-0092,http://melissameyersacupuncture.com/,,,OPERATIONAL,Garrison,Putnam
Island Acupuncture,"500 Federal St Suite 200, Troy, NY 12180, USA",(518) 417-7236,http://islandacu.com/,5,10,OPERATIONAL,Rensselaer,Rensselaer
"North Country Acupuncture, PLLC","800 NY-146 #499, Clifton Park, NY 12065, USA",(518) 410-7770,http://northcountryacupuncture.net/,5,52,OPERATIONAL,Rensselaer,Rensselaer
Rei Integrative Wellness,"48 N Greenbush Rd, Troy, NY 12180, USA",(518) 326-0200,https://reiintegrative.com/,5,27,OPERATIONAL,Rensselaer,Rensselaer
Acupuncture of Rockland,"345 N Main St #10, New City, NY 10956, USA",(845) 675-7826,,,,OPERATIONAL,Haverstraw,Rockland
Hillary Wells Acupuncture PLLC,"811 Chestnut Ridge Rd # E, Chestnut Ridge, NY 10977, USA",(845) 290-0678,http://www.hillarywellsacupuncture.com/,5,15,OPERATIONAL,Haverstraw,Rockland
Integrative Health of Rockland,"286 S Main St, New City, NY 10956, USA",(845) 764-4774,https://www.integrativehealthrockland.com/,4.8,10,OPERATIONAL,Haverstraw,Rockland
River Wellness Acupuncture,"54 S Liberty Dr, Stony Point, NY 10980, USA",(845) 821-0793,,,,OPERATIONAL,Haverstraw,Rockland
Stefanie Cotter Acupuncture,"17 Indian Rock, Suffern, NY 10901, USA",(646) 389-6809,http://www.stefaniecotter.com/,5,1,OPERATIONAL,Haverstraw,Rockland
"Synergy Acupuncture, Chiropractic and Physical Therapy PLLC","182 S Main St, New City, NY 10956, USA",(845) 358-4000,http://synergynewcity.com/,5,64,OPERATIONAL,Haverstraw,Rockland
AcuLiving Acupuncture Therapy + Sports Medicine,"2 Strawtown Rd Unit 5, West Nyack, NY 10994, USA",(845) 642-4349,http://aculiving.com/,5,9,OPERATIONAL,Nyack,Rockland
Azamra Acupuncture and Natural Medicine,"971 NY-45 # 106, Pomona, NY 10970, USA",(845) 367-1139,http://www.azamraacupuncture.com/,5,89,OPERATIONAL,Nyack,Rockland
"Catherine J. Parker, LAC","42 Main St Suite 206, Nyack, NY 10960, USA",(914) 319-1396,,,,OPERATIONAL,Nyack,Rockland
Divine Acupuncture and Wellness,"120 N Main St Suite 204, New City, NY 10956, USA",(845) 377-5030,https://divineacu.com/,5,12,OPERATIONAL,Nyack,Rockland
Dr. Rebecca Larris & Dr. Bruce Handelsman Reviver Chiropractic Family and Wellness,"52 N Broadway, Nyack, NY 10960, USA",(845) 353-2862,http://www.nyackwellness.com/,5,43,OPERATIONAL,Nyack,Rockland
Integrative Wellness Family Health NP,"99 Main St #542, Nyack, NY 10960, USA",(845) 204-8608,http://ivwellnessnp.com/,5,4,OPERATIONAL,Nyack,Rockland
JP Acupuncture Care,"105 Shad Row, Piermont, NY 10968, USA",(201) 344-3769,,5,10,OPERATIONAL,Nyack,Rockland
"Marie Gonzales, L.Ac.","196 Main St, Nyack, NY 10960, USA",(845) 398-1312,http://www.acupuncturenyack.com/,5,19,OPERATIONAL,Nyack,Rockland
"Metropolitan Acupuncture and Herbal Medicine, LLC","TURNPIKE Professional Building, 256 Old Nyack Turnpike, Spring Valley, NY 10977, USA",(845) 579-2120,,4.6,10,OPERATIONAL,Nyack,Rockland
Michael Cho Acupuncture and Herbs,"120 N Main St #400, New City, NY 10956, USA",(845) 321-4725,http://michaelchoacupuncture.com/,5,26,OPERATIONAL,Nyack,Rockland
New City Acupuncture & Wellness Center,"125 S Main St, New City, NY 10956, USA",(845) 579-2428,https://newcitywellness.com/,5,65,OPERATIONAL,Nyack,Rockland
"Nyack Acupuncture/Nancy A. Fisher MS, LAc","134 N Broadway, Nyack, NY 10960, USA",(845) 416-2328,http://nyackacupuncture.com/,4.6,11,OPERATIONAL,Nyack,Rockland
Pearl River Acupuncture,"275 N Middletown Rd Suite 1G-A, Pearl River, NY 10965, USA",(845) 668-1700,https://pearlriveracupuncture.com/,5,42,OPERATIONAL,Nyack,Rockland
Rooted Elements Acupuncture,"48 Burd St # 205B, Nyack, NY 10960, USA",(845) 535-9116,http://www.rootedelementsacu.com/,5,4,OPERATIONAL,Nyack,Rockland
"Sundala Wellness, Inc.: Orthopedic and Sports Medicine Acupuncture, Physical Therapy, Dry Needling","2 Strawtown Rd, West Nyack, NY 10994, USA",(845) 359-4694,https://www.sundala.com/,5,44,OPERATIONAL,Nyack,Rockland
Symmetry Acupuncture,"719 W Nyack Rd Ste 25, West Nyack, NY 10994, USA",(845) 288-1914,http://www.symmetryacu.com/,5,8,OPERATIONAL,Nyack,Rockland
Traditional Acupuncture Center,"134 NY-59, Nanuet, NY 10954, USA",(845) 623-4187,http://www.traditionalacupuncturecenter.com/,4.9,8,OPERATIONAL,Nyack,Rockland
Zeng Natural Healing,"147 Main St, Nanuet, NY 10954, USA",(845) 598-1965,http://zengnatural.com/,4.7,19,OPERATIONAL,Nyack,Rockland
Botjer Acupuncture,"105 Shad Row #1C, Piermont, NY 10968, USA",(551) 655-1531,http://botjeracupuncture.com/,5,5,OPERATIONAL,Piermont,Rockland
"Dr. Anabelle Grigorescu DAc, LAc-Northeast Acupuncture","2005 Palmer Ave, Larchmont, NY 10538, USA",(914) 200-4405,http://www.anabellegrigorescu.com/,5,16,OPERATIONAL,Piermont,Rockland
Haram Acupuncture clinic,"100 NY-303, Tappan, NY 10983, USA",(845) 680-6294,https://www.karamedspa.com/contact-us/,5,10,OPERATIONAL,Piermont,Rockland
Orangetown Acupuncture,"Second Floor, 60 Dutch Hill Rd Suite 2B, Orangeburg, NY 10962, USA",(845) 570-5057,https://www.orangetownacupuncture.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5852931015666022732,5,33,OPERATIONAL,Piermont,Rockland
Riverview Wellness Center For Well Being,"269 Piermont Ave, Piermont, NY 10968, USA",(347) 744-9322,https://www.riverviewwellnesscenter.com/,5,4,OPERATIONAL,Piermont,Rockland
Shang Acupuncture Center,"177 E Washington Ave, Pearl River, NY 10965, USA",(845) 735-4282,http://www.shangacupuncturecenter.com/,5,8,OPERATIONAL,Piermont,Rockland
Source Wellness,"103 S Greenbush Rd, Orangeburg, NY 10962, USA",(845) 359-4767,http://www.sourcewellness.com/,5,11,OPERATIONAL,Piermont,Rockland
"Tappan Acupuncture | Acupuncture in Tappan, NY | Acupuncture for Pain, Depression, Dementia, Stroke, Parkinson in Tappan, NY","111 NY-303 Suite 109, Tappan, NY 10983, USA",(917) 860-3255,http://ny.koreaportal.com/yp/22542-New-York-%EB%B2%88%EC%98%81-%ED%95%9C%EC%9D%98%EC%9B%90--%EB%AC%BC%EB%A6%AC%EC%B9%98%EB%A3%8C-%EB%89%B4%EC%A0%80%EC%A7%80-%ED%86%B5%EC%A6%9D%EC%B9%98%EB%A3%8C-%EB%89%B4%EC%A0%80%EC%A7%80-%EB%AC%BC%EB%A6%AC%EC%B9%98%EB%A3%8C,5,1,OPERATIONAL,Piermont,Rockland
Woo Acupuncture P.C.,"60 Dutch Hill Rd GL-1, Orangeburg, NY 10962, USA",(845) 366-0117,http://www.wooacu.com/,5,3,OPERATIONAL,Piermont,Rockland
제중한의원(JeJungAcupuncture&Herbs),"4 Roundhouse Rd, Piermont, NY 10968, USA",(845) 848-2505,,,,OPERATIONAL,Piermont,Rockland
Serenity Point Acupuncture,"85 Cold Spring Rd, Syosset, NY 11791, USA",(516) 303-2590,https://serenitypointacu.com/,5,36,OPERATIONAL,Stony Point,Rockland
Little Waters Wellness with Dr. Kristina Wodicka,"16 Collyer Ave, Valley Cottage, NY 10989, USA",(845) 535-5299,http://www.drwodicka.com/,5,29,OPERATIONAL,Upper Nyack,Rockland
Robert S. Kim Acupuncture Wellness Care,"275 NY-304 # 700, Bardonia, NY 10954, USA",(845) 826-4508,https://acupuncturersk.setmore.com/,5,12,OPERATIONAL,Upper Nyack,Rockland
"expecting wellness acupuncture, pc","160 N Midland Ave, Nyack, NY 10960, USA",(917) 526-2365,,,,OPERATIONAL,Upper Nyack,Rockland
AromaGee Massage & Holistic Wellness,"652 NY-299 Suite 101, Highland, NY 12528, USA",(845) 242-8077,http://www.aromagee.com/,5,80,OPERATIONAL,Highland,Ulster
"Callie Brown, Acupuncture Health Care associates","108 Main St #3, New Paltz, NY 12561, USA",(845) 417-8562,http://newpaltz-acupuncture.com/,5,10,OPERATIONAL,Highland,Ulster
Haven Acupuncture & Chiropractic PLLC,"1510 US-9W, Marlboro, NY 12542, USA",(845) 249-9215,http://www.havenacu.com/,5,14,OPERATIONAL,Highland,Ulster
